Subcommand, Spoken form (optional)
add
archive
bisect
blame
branch
checkout
cherry-pick, cherry pick
clean
clone
commit
config
diff
difftool, diff tool
fetch
gc
grep
help
init, in it
log
ls-files, ls files
merge
mergetool, merge tool
mv, move
pull
push
range-diff, range diff
rebase
reflog,ref log
remote
remote add
remote remove
remote rename
remote set-url, remote set url
remote set-url, remote set you are el
remote show
rerere
rerere diff
rerere status
reset
restore
revert
rm, remove
shortlog,short log
show
sparse-checkout,sparse checkout
stash
stash apply
stash list
stash pop
stash push
stash show
stash save
status
submodule
submodule add
submodule init, submodule in it
submodule status
submodule update
switch
tag
worktree
worktree add
worktree list
worktree lock
worktree move
worktree prune
worktree remove
worktree repair
worktree unlock
