Path,Spoken
C:\Users\ansaldoginee2,user
C:\Users\ansaldoginee2,profile
C:\Users\ansaldoginee2\Desktop,desktop
C:\Users\ansaldoginee2\Desktop,desk
C:\Users\ansaldoginee2\Documents,documents
C:\Users\ansaldoginee2\Documents,docks
C:\Users\ansaldoginee2\Downloads,downloads
C:\Users\ansaldoginee2\Music,music
C:\Users\ansaldoginee2\Pictures,pictures
C:\Users\ansaldoginee2\Videos,videos
C:\Users\ansaldoginee2\AppData\Roaming\talon,talon home
C:\Users\ansaldoginee2\AppData\Roaming\talon\user,talon user
M:\LPD-MIS members' data\Eduard Ansaldo\Experiments,experiments
G:\EduardAnsaldo,locus
M:\LPD-MIS members' data\Eduard Ansaldo,LPD
