Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
add,ad
app,ap
auto,otto
employee,employe
boolean,bullion
role,roll
roles,rolls
allowed,aloud
padding,patting
serverless,servilis
cache,cash
cached,cashed
center,centre
add,ad
data,dada
main,maine
the,thee
constants,constance
coded,coated
chalice,chais
django,jingo
django,jango
lambda,laa
rows,rose
code,coat
graph,graf
vendor,vender
parse,pars
console,consul
console,consol
get,git
close,clothes
layers,lairs
layer,lair
where,ware
were,whir
dict,dicked
dict,dick
figma,Figma
kamila,camila
